Date,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,Category,Subcategory,Country,City,IsFraud,Notes,CustomerSince,Amount_IDR,BalanceCategory
2024-04-04,DEBIT,182.52,INR,1.0,-1271234.64,Myntra,Clothing,Men,Canada,Hyderabad,TRUE,CHARGEBACK REQUESTED,2018.0,34678.8,Negative
2025-06-15,DEBIT,7.78,GBP,109.9103,-1807438.05,Swiggy,Education,Course,India,Noida,TRUE,,,162469.40546,Negative
2023-12-06,DEBIT,24.32,INRR,1.0,-2773197.87,Starbucks,Travel,Hotel,Australia,Pune,TRUE,REPEAT PURCHASE,,4620.8,Negative
2024-04-27,CREDIT,44.43,GBP,92.3692,-1641954.78,Zomato,Automotive,Repair,Canada,Hyderabad,TRUE,CHARGEBACK REQUESTED,2017.0,779753.0756400002,Negative
2025-07-07,DEBIT,33.37,GBP,105.0996,-2679832.57,BigBasket,Health,Pharmacy,India,Mumbai,TRUE,,,666362.9938799998,Negative
2025-05-28,CREDIT,42.95,INR,1.0,-1626363.59,Reliance,Automotive,Repair,India,Bengaluru,TRUE,MANUAL ADJUSTMENT,,8160.500000000001,Negative
2023-12-21,CREDIT,152.36,INR,1.0,-2236251.77,Starbucks,Dining,FastFood,USA,Hyderabad,TRUE,PROMO APPLIED,2020.0,28948.4,Negative
2024-10-08,DEBIT,44.14,USD,80.0553,-1435942.82,AutoZone,Automotive,Repair,Canada,Bengaluru,TRUE,CASHBACK CREDITED,,671391.77898,Negative
2025-07-03,DEBIT,43.51,GBP,109.0826,-1641954.78,Reliance,Health,Pharmacy,Australia,Jaipur,TRUE,,,901774.9459399999,Negative
2024-08-03,DEBIT,205.53,USD,75.3975,-1077843.2,ShopEasy,Education,Course,UAE,Chennai,TRUE,PROMO APPLIED,2022.0,2944325.15325,Negative
2025-07-07,DEBIT,4.63,INR,1.0,-1640779.41,Paytm Mall,Travel,Flight,UK,Kolkata,TRUE,SUSPECTED FRAUD,,879.6999999999999,Negative
2024-11-02,REFUND,15.99,AED,19.3611,-1626977.7,BigBasket,Clothing,Women,UK,Gurugram,TRUE,MANUAL ADJUSTMENT,2025.0,58820.957910000005,Negative
2024-09-23,DEBIT,33.37,INR,1.0,-166478.84,ElectroWorld,Dining,Restaurant,USA,Delhi,TRUE,,2025.0,6340.299999999999,Negative
2024-12-22,DEBIT,11.31,INR,1.0,-1561032.62,ShopEasy,Automotive,Repair,USA,Kolkata,TRUE,REPEAT PURCHASE,,2148.9,Negative
2024-09-30,REFUND,33.37,AED,19.0147,-1641954.78,Flipkart,Utilities,Water,Australia,Kolkata,TRUE,,2023.0,120558.90241,Negative
2025-05-31,DEBIT,34.66,INR,1.0,-1483070.18,AutoZone,Dining,Cafe,India,Pune,TRUE,REPEAT PURCHASE,2021.0,6585.4,Negative
2024-11-12,DEBIT,33.64,INR,1.0,-1641954.78,Myntra,Entertainment,Streaming,Canada,Chennai,TRUE,REPEAT PURCHASE,2018.0,6391.6,Negative
2024-03-17,DEBIT,15.65,USD,82.0373,-1559325.04,ShopEasy,Travel,Taxi,Canada,Bengaluru,TRUE,CHARGEBACK REQUESTED,,243937.91155000002,Negative
2025-07-10,DEBIT,12.37,INR,1.0,-1641954.78,ShopEasy,Entertainment,Streaming,Canada,Jaipur,TRUE,MONTHLY SUBSCRIPTION,,2350.2999999999997,Negative
2025-08-30,DEBIT,33.37,GBP,103.5416,-2254565.61,LocalMart,Automotive,Fuel,USA,Gurugram,TRUE,MANUAL ADJUSTMENT,,656484.80648,Negative
2024-04-13,CREDIT,33.37,USD,79.1356,-1197881.04,BigBasket,Clothing,Men,UK,Mumbai,TRUE,,2025.0,501743.44467999996,Negative
2024-03-06,DEBIT,233.03,USD,78.5247,-1625963.31,Amazon,Health,Pharmacy,UAE,Kolkata,TRUE,SUSPECTED FRAUD,,3476736.0597899994,Negative
2024-10-26,REFUND,64.19,USD,81.6392,-1130377.48,AutoZone,Groceries,Supermarket,India,Gurugram,TRUE,CHARGEBACK REQUESTED,,995679.84712,Negative
2025-03-27,DEBIT,18.14,USD,82.5269,-1641954.78,Paytm Mall,Travel,Hotel,Canada,Delhi,TRUE,CHARGEBACK REQUESTED,,284437.21354,Negative
2023-12-04,DEBIT,66.64,INR,1.0,-2065733.13,Paytm Mall,Entertainment,Concert,Australia,Delhi,TRUE,CHARGEBACK REQUESTED,,12661.6,Negative
2024-09-28,REFUND,20.89,USD,82.4931,-1271534.55,Amazon,Clothing,Men,Australia,Gurugram,TRUE,REPEAT PURCHASE,,327423.36321,Negative
2023-12-22,CREDIT,8.4,AED,18.2274,-1641954.78,AutoZone,Health,Pharmacy,India,Jaipur,TRUE,REPEAT PURCHASE,,29090.9304,Negative
2024-02-14,CREDIT,32.33,USD,74.7362,-2775682.36,Zomato,Education,Course,USA,Bengaluru,TRUE,,,459082.05574,Negative
2024-02-13,DEBIT,216.04,GBP,98.8171,-1625673.0,AutoZone,Groceries,Supermarket,India,Chennai,TRUE,CASHBACK CREDITED,,4056204.7939599995,Negative
2025-03-03,REFUND,75.43,USD,81.6872,-258322.12,ElectroWorld,Utilities,Internet,Canada,Mumbai,TRUE,REPEAT PURCHASE,2016.0,1170716.44424,Negative
2025-07-06,CREDIT,10.06,INR,1.0,-2495101.56,Zomato,Education,Course,UK,Noida,TRUE,MANUAL ADJUSTMENT,,1911.4,Negative
2024-04-01,DEBIT,9.29,GBP,107.0669,-258839.43,Zomato,Groceries,Supermarket,USA,Kolkata,TRUE,REPEAT PURCHASE,2022.0,188983.78519,Negative
2023-10-15,DEBIT,24.93,USD,72.2109,-1641311.87,Reliance,Utilities,Water,USA,Mumbai,TRUE,CHARGEBACK REQUESTED,,342041.37003,Negative
2024-09-04,CREDIT,4.64,USD,77.4133,-1641954.78,LocalMart,Automotive,Repair,USA,Pune,TRUE,PROMO APPLIED,,68247.56528000001,Negative
2025-01-12,DEBIT,323.71,INR,1.0,-1641954.78,Swiggy,Education,Books,UK,Hyderabad,TRUE,REPEAT PURCHASE,,61504.899999999994,Negative
2025-09-11,CREDIT,14.35,GBP,93.7774,-1561209.71,ElectroWorld,Travel,Taxi,Australia,Delhi,TRUE,REPEAT PURCHASE,2015.0,255684.0811,Negative
2024-07-26,DEBIT,87.9,INR,1.0,-175351.61,Reliance,Clothing,Men,Canada,Bengaluru,TRUE,CHARGEBACK REQUESTED,,16701.0,Negative
2025-06-11,DEBIT,56.97,INR,1.0,-2902653.16,Starbucks,Automotive,Repair,UAE,Pune,TRUE,CASHBACK CREDITED,,10824.3,Negative
2024-12-03,DEBIT,17.27,AED,18.9097,-1163435.76,ElectroWorld,Electronics,Laptop,Australia,Mumbai,TRUE,MANUAL ADJUSTMENT,2023.0,62048.39861,Negative
2024-04-30,DEBIT,13.1,USD,74.1309,-189142.04,Walmart,Dining,Cafe,India,Pune,TRUE,MANUAL ADJUSTMENT,,184511.8101,Negative
2023-11-14,CREDIT,5.06,GBP,102.9542,-2237593.41,Flipkart,Electronics,Mobile,UAE,Hyderabad,TRUE,MANUAL ADJUSTMENT,,98980.16787999998,Negative
2025-01-09,DEBIT,47.97,INR,1.0,-976638.83,Swiggy,Travel,Taxi,Australia,Bengaluru,TRUE,,,9114.3,Negative
2024-11-17,CREDIT,52.77,AED,18.6403,-2121117.46,Reliance,Dining,Cafe,USA,Delhi,TRUE,,2015.0,186893.23989,Negative
2025-01-16,CREDIT,14.08,USD,76.5633,-434857.58,Walmart,Clothing,Women,India,Bengaluru,TRUE,MANUAL ADJUSTMENT,2024.0,204822.14016,Negative
2024-05-15,DEBIT,33.37,USD,78.0959,-987539.34,Swiggy,Groceries,Specialty,Canada,Noida,TRUE,SUSPECTED FRAUD,,495151.43476999993,Negative
2023-10-01,DEBIT,8.07,AED,20.9104,-2118578.51,BigBasket,Dining,Restaurant,UK,Delhi,TRUE,,,32061.91632,Negative
2024-10-04,DEBIT,16.27,AED,18.3481,-2935302.24,Walmart,Clothing,Men,UK,Mumbai,TRUE,PROMO APPLIED,2021.0,56719.48152999999,Negative
2025-01-25,DEBIT,27.94,USD,79.2784,-2624514.23,BigBasket,Entertainment,Concert,USA,Kolkata,TRUE,,2021.0,420857.31424000004,Negative
2023-09-19,CREDIT,6.23,INR,1.0,-1641954.78,AutoZone,Travel,Taxi,India,Kolkata,TRUE,REPEAT PURCHASE,,1183.7,Negative
2024-08-12,CREDIT,18.43,AED ,18.7306,-2514204.26,Walmart,Automotive,Fuel,India,Mumbai,TRUE,REPEAT PURCHASE,,65588.94202,Negative
2024-04-08,REFUND,41.64,INR,1.0,-2581234.51,BigBasket,Entertainment,Streaming,UK,Bengaluru,TRUE,REPEAT PURCHASE,,7911.6,Negative
2024-02-13,DEBIT,82.39,AED,19.3777,-2254430.85,Reliance,Travel,Taxi,USA,Kolkata,TRUE,CHARGEBACK REQUESTED,,303340.45357,Negative
2025-04-02,CREDIT,59.57,AED,18.0559,-2466163.75,Swiggy,Groceries,Supermarket,Australia,Bengaluru,TRUE,SUSPECTED FRAUD,,204362.09297000003,Negative
2025-02-14,DEBIT,113.57,USD,80.9305,-1824741.69,Paytm Mall,Utilities,Water,Canada,Hyderabad,TRUE,,,1746342.6081499998,Negative
2024-06-05,CREDIT,101.78,USD,75.4516,-436722.13,AutoZone,Education,Course,UAE,Chennai,TRUE,CHARGEBACK REQUESTED,2020.0,1459098.13112,Negative
2024-11-23,DEBIT,10.09,GBP,102.8944,-146266.1,Swiggy,Electronics,Mobile,USA,Mumbai,TRUE,MANUAL ADJUSTMENT,,197258.85424000002,Negative
2024-04-21,DEBIT,33.37,GBP,105.2349,-1557037.53,ElectroWorld,Groceries,Supermarket,Canada,Pune,TRUE,CASHBACK CREDITED,,667220.83647,Negative
2024-02-28,DEBIT,27.1,INR,1.0,-1641954.78,Swiggy,Dining,FastFood,India,Hyderabad,TRUE,CASHBACK CREDITED,,5149.0,Negative
2025-06-11,DEBIT,52.44,GBP,92.0479,-1637568.71,ShopEasy,Health,Clinic,USA,Jaipur,TRUE,PROMO APPLIED,2016.0,917128.45644,Negative
2024-10-23,DEBIT,10.03,USD,77.4234,-2085768.81,Flipkart,Entertainment,Movies,India,Kolkata,TRUE,CHARGEBACK REQUESTED,,147545.77338,Negative
2024-08-02,CREDIT,448.15,INR,1.0,-1130312.79,ShopEasy,Education,Course,India,Jaipur,TRUE,SUSPECTED FRAUD,,85148.5,Negative
2024-12-23,DEBIT,137.92,USD,78.0877,-1197853.02,AutoZone,Clothing,Men,UAE,Hyderabad,TRUE,MONTHLY SUBSCRIPTION,2020.0,2046272.56096,Negative
2024-01-11,DEBIT,33.37,GBP,96.7906,-2582378.67,Reliance,Clothing,Women,India,Mumbai,TRUE,,,613681.4411799998,Negative
2024-10-01,CREDIT,20.16,GBP,96.0702,-1850300.76,AutoZone,Automotive,Fuel,Australia,Jaipur,TRUE,CHARGEBACK REQUESTED,2021.0,367987.29408,Negative
2024-04-24,DEBIT,34.1,AED,19.3833,-189159.09,Swiggy,Health,Clinic,India,Noida,TRUE,SUSPECTED FRAUD,,125584.40069999998,Negative
2024-12-04,CREDIT,159.87,AED,20.0128,-1641954.78,Zomato,Automotive,Repair,UK,Hyderabad,TRUE,REPEAT PURCHASE,,607894.80384,Negative
2025-05-23,DEBIT,103.71,USD,78.7156,-2481900.25,AutoZone,Dining,FastFood,Australia,Pune,TRUE,PROMO APPLIED,2024.0,1551083.02644,Negative
2024-02-15,REFUND,8.93,GBP,93.7166,-595719.24,Starbucks,Travel,Taxi,Australia,Mumbai,TRUE,MONTHLY SUBSCRIPTION,2022.0,159008.95522,Negative
2023-12-21,DEBIT,3.18,AED,18.4612,-174817.7,Myntra,Entertainment,Concert,UAE,Bengaluru,TRUE,,,11154.257040000002,Negative
2024-09-06,CREDIT,5.72,GBP,91.0687,-144983.41,ShopEasy,Automotive,Fuel,India,Mumbai,TRUE,PROMO APPLIED,,98973.46316,Negative
2024-10-10,DEBIT,82.33,USD,78.2775,-558123.15,Reliance,Education,Course,Australia,Jaipur,TRUE,PROMO APPLIED,,1224471.44925,Negative
2023-11-22,CREDIT,33.37,GBP,94.5286,-1676113.41,Starbucks,Education,Books,India,Kolkata,TRUE,PROMO APPLIED,,599339.6825799999,Negative
2025-06-13,REFUND,69.3,USD,79.8025,-1641954.78,Myntra,Automotive,Repair,UK,Noida,TRUE,MONTHLY SUBSCRIPTION,,1050759.5174999998,Negative
2024-12-12,DEBIT,105.28,USD,81.9163,-594057.41,Myntra,Electronics,Laptop,Australia,Chennai,TRUE,MANUAL ADJUSTMENT,2023.0,1638588.1321600003,Negative
2025-02-10,DEBIT,44.51,USD,78.7337,-1214756.56,Zomato,Groceries,Supermarket,India,Kolkata,TRUE,MONTHLY SUBSCRIPTION,,665843.02753,Negative
2024-07-29,DEBIT,33.37,GBP,102.9642,-974148.84,Starbucks,Electronics,Laptop,Australia,Hyderabad,TRUE,CHARGEBACK REQUESTED,,652823.9172599999,Negative
2025-04-27,DEBIT,33.37,INR,1.0,-1641954.78,Myntra,Clothing,Women,USA,Chennai,TRUE,REPEAT PURCHASE,2015.0,6340.299999999999,Negative
2024-04-02,DEBIT,18.32,INR,1.0,-1499757.01,ShopEasy,Education,Course,UAE,Gurugram,TRUE,REPEAT PURCHASE,,3480.8,Negative
2025-07-12,DEBIT,262.82,USD,80.0481,-1641954.78,AutoZone,Travel,Hotel,Canada,Delhi,TRUE,MANUAL ADJUSTMENT,,3997265.9119800003,Negative
2023-11-17,DEBIT,15.24,INR,1.0,-540685.68,Walmart,Dining,FastFood,Canada,Jaipur,TRUE,CASHBACK CREDITED,,2895.6,Negative
2025-02-14,DEBIT,21.23,INR,1.0,-1560712.38,Amazon,Groceries,Specialty,USA,Noida,TRUE,REPEAT PURCHASE,,4033.7000000000003,Negative
2025-03-05,REFUND,29.69,USD,79.8143,-1641954.78,LocalMart,Utilities,Electricity,UK,Hyderabad,TRUE,MONTHLY SUBSCRIPTION,2024.0,450240.44773,Negative
2024-03-25,CREDIT,29.44,INR,1.0,-1849706.27,Swiggy,Entertainment,Concert,Canada,Noida,TRUE,CHARGEBACK REQUESTED,,5593.6,Negative
2024-01-10,REFUND,33.37,INR,1.0,-2680066.2,Reliance,Clothing,Women,India,Gurugram,TRUE,MONTHLY SUBSCRIPTION,2026.0,6340.299999999999,Negative
2024-06-02,DEBIT,36.71,USD,80.3058,-1641954.78,BigBasket,Health,Pharmacy,Australia,Jaipur,TRUE,MONTHLY SUBSCRIPTION,2018.0,560124.92442,Negative
2024-02-14,REFUND,7.29,USD,77.0105,-173589.6,Paytm Mall,Clothing,Men,Canada,Gurugram,TRUE,,,106667.24354999998,Negative
2025-09-01,REFUND,36.37,GBP,104.3552,-1824836.93,Myntra,Utilities,Water,Australia,Chennai,TRUE,MANUAL ADJUSTMENT,,721125.7385599999,Negative
2023-10-23,DEBIT,78.68,AED,20.5455,-1641954.78,BigBasket,Travel,Taxi,UK,Pune,TRUE,"CASHBACK CREDITED -- VERIFY
CONTACT SUPPORT",,307138.7886,Negative
2023-10-10,DEBIT,24.78,USD,77.4485,-1617390.5,Flipkart,Groceries,Specialty,Australia,Delhi,TRUE,CHARGEBACK REQUESTED,,364643.0277,Negative
2024-03-29,CREDIT,50.02,GBP,95.2539,-1641954.78,BigBasket,Dining,Cafe,UAE,Hyderabad,TRUE,SUSPECTED FRAUD,,905274.01482,Negative
2024-07-10,DEBIT,32.08,GBP,95.1332,-1641954.78,Amazon,Travel,Hotel,USA,Delhi,TRUE,CASHBACK CREDITED,2026.0,579855.88064,Negative
2024-10-21,DEBIT,28.26,INR,1.0,-2232288.23,ElectroWorld,Automotive,Fuel,Canada,Hyderabad,TRUE,REPEAT PURCHASE,,5369.400000000001,Negative
2025-08-12,DEBIT,24.79,INR,1.0,-537600.75,Amazon,Automotive,Fuel,Canada,Pune,TRUE,,2018.0,4710.099999999999,Negative
2024-02-11,CREDIT,7.43,AED,20.6611,-163734.73,ShopEasy,Entertainment,Streaming,UAE,Gurugram,TRUE,,2016.0,29167.27487,Negative
2024-07-13,CREDIT,7.96,GBP,106.7049,-2775256.42,Walmart,Groceries,Specialty,India,Hyderabad,TRUE,SUSPECTED FRAUD,,161380.49076,Negative
2024-05-24,CREDIT,46.34,USD,73.0887,-280660.74,Myntra,Automotive,Repair,USA,Chennai,TRUE,REPEAT PURCHASE,,643516.7680200001,Negative
2025-06-06,CREDIT,17.62,AED,18.0938,-1284180.14,Walmart,Electronics,Laptop,Canada,Kolkata,TRUE,PROMO APPLIED,,60574.42364000001,Negative
2024-01-24,CREDIT,69.91,INR,1.0,-1641954.78,Reliance,Electronics,Accessory,Canada,Delhi,TRUE,CASHBACK CREDITED,,13282.9,Negative
2023-11-22,CREDIT,14.64,INR,1.0,-159519.75,Paytm Mall,Electronics,Mobile,UAE,Hyderabad,TRUE,CASHBACK CREDITED,,2781.6,Negative
2025-08-01,REFUND,33.37,USD,81.6922,-145340.97,Reliance,Health,Clinic,UK,Hyderabad,TRUE,CHARGEBACK REQUESTED,,517953.05566,Negative
2024-05-30,CREDIT,33.37,AED,21.7311,-1641954.78,Paytm Mall,Dining,FastFood,UAE,Hyderabad,TRUE,CASHBACK CREDITED,2025.0,137781.69332999998,Negative
2024-12-06,CREDIT,33.37,INR,1.0,-436511.12,Starbucks,Groceries,Specialty,India,Hyderabad,TRUE,PROMO APPLIED,,6340.299999999999,Negative
2024-04-14,DEBIT,33.37,INR,1.0,-1641954.78,Walmart,Clothing,Women,USA,Delhi,TRUE,MANUAL ADJUSTMENT,,6340.299999999999,Negative
2024-09-02,REFUND,33.37,AED,18.5335,-2679472.41,Amazon,Travel,Flight,UK,Chennai,TRUE,SUSPECTED FRAUD,2025.0,117507.95005,Negative
2024-09-14,DEBIT,33.37,USD,81.0232,-1436009.46,BigBasket,Groceries,Supermarket,Australia,Hyderabad,TRUE,PROMO APPLIED,,513711.39495999995,Negative
2024-12-03,CREDIT,345.13,GBP,97.4449,-1823976.8,Reliance,Automotive,Fuel,UK,Jaipur,TRUE,SUSPECTED FRAUD,,6389920.0840300005,Negative
2024-10-24,DEBIT,33.37,AED,20.7206,-2624724.49,Swiggy,Entertainment,Streaming,Canada,Chennai,TRUE,PROMO APPLIED,,131374.82018,Negative
2025-02-24,DEBIT,33.37,USD,78.3796,-1652816.48,Starbucks,Education,Books,UK,Kolkata,TRUE,MONTHLY SUBSCRIPTION,,496950.17788,Negative
2023-12-20,REFUND,33.37,AED,20.2525,-1641954.78,AutoZone,Dining,Cafe,India,Noida,TRUE,PROMO APPLIED,,128406.92575,Negative
2023-11-22,REFUND,2.32,INR,1.0,-1886827.2,Starbucks,Utilities,Electricity,Australia,Delhi,TRUE,,2024.0,440.79999999999995,Negative
2024-06-12,DEBIT,24.42,AED,20.4116,-2868867.06,Zomato,Entertainment,Concert,UAE,Noida,TRUE,MANUAL ADJUSTMENT,,94705.74168,Negative
2024-11-06,REFUND,33.37,GBP,99.0465,-1641954.78,Myntra,Dining,FastFood,UAE,Kolkata,TRUE,CASHBACK CREDITED,2022.0,627984.52395,Negative
2024-07-06,CREDIT,494.19,AED,18.0149,-557232.54,LocalMart,Entertainment,Concert,Australia,Noida,TRUE,SUSPECTED FRAUD,,1691528.85189,Negative
2025-05-03,CREDIT,33.37,GBP,105.0105,-2514316.21,LocalMart,Groceries,Supermarket,India,Kolkata,TRUE,MONTHLY SUBSCRIPTION,2021.0,665798.07315,Negative
2025-01-24,DEBIT,14.15,GBP,107.2202,-1641954.78,Reliance,Travel,Hotel,Canada,Noida,TRUE,CHARGEBACK REQUESTED,,288261.5077,Negative
2024-08-17,DEBIT,33.37,INR,1.0,-2933318.06,Paytm Mall,Automotive,Repair,Canada,Chennai,TRUE,MONTHLY SUBSCRIPTION,2025.0,6340.299999999999,Negative
2025-07-24,REFUND,25.38,AED,21.3777,-1641954.78,Zomato,Education,Books,Australia,Hyderabad,TRUE,PROMO APPLIED,,103087.54493999999,Negative
2025-01-06,DEBIT,4.89,GBP,104.1987,-1000569.66,Flipkart,Education,Course,USA,Kolkata,TRUE,CASHBACK CREDITED,,96811.01217,Negative
2023-10-09,DEBIT,69.87,USD,81.0102,-1199899.22,LocalMart,Clothing,Women,India,Noida,TRUE,MONTHLY SUBSCRIPTION,,1075434.70806,Negative
2025-04-05,DEBIT,75.42,USD,73.6675,-2935409.92,Paytm Mall,Travel,Hotel,UK,Kolkata,TRUE,CASHBACK CREDITED,,1055640.5415,Negative
2024-03-17,CREDIT,24.39,INR,1.0,-1500853.81,ElectroWorld,Electronics,Laptop,Australia,Hyderabad,TRUE,PROMO APPLIED,2020.0,4634.1,Negative
2024-10-13,DEBIT,33.37,AED,21.9395,-1931578.0,ElectroWorld,Health,Clinic,Australia,Chennai,TRUE,MANUAL ADJUSTMENT,2023.0,139103.01184999998,Negative
2024-12-28,REFUND,7.86,USD,82.9576,-1641954.78,Reliance,Groceries,Supermarket,Australia,Pune,TRUE,SUSPECTED FRAUD,,123888.87984000001,Negative
2025-04-18,DEBIT,28.57,USD,81.5675,-2934574.3,Starbucks,Groceries,Specialty,Canada,Chennai,TRUE,MONTHLY SUBSCRIPTION,,442772.86025,Negative
2025-05-06,REFUND,25.26,AED ,19.4828,-2466964.78,Starbucks,Travel,Taxi,Australia,Jaipur,TRUE,REPEAT PURCHASE,,93505.75032000002,Negative
2024-05-31,DEBIT,56.86,USD,81.6932,-2901441.94,Myntra,Electronics,Laptop,Canada,Chennai,TRUE,REPEAT PURCHASE,2021.0,882564.3168799999,Negative
2025-03-27,DEBIT,410.7,INR,1.0,-2902930.14,Amazon,Entertainment,Movies,UK,Jaipur,TRUE,REPEAT PURCHASE,2020.0,78033.0,Negative
2024-12-22,DEBIT,33.37,USD,76.4788,-1270065.16,ElectroWorld,Groceries,Supermarket,Australia,Kolkata,TRUE,CHARGEBACK REQUESTED,,484898.53564,Negative
2025-02-24,CREDIT,84.73,INR,1.0,-1641954.78,Flipkart,Utilities,Internet,Canada,Bengaluru,TRUE,MANUAL ADJUSTMENT,2024.0,16098.7,Negative
2024-01-19,REFUND,33.37,INR,1.0,-490760.24,Walmart,Automotive,Fuel,Canada,Hyderabad,TRUE,REPEAT PURCHASE,2024.0,6340.299999999999,Negative
2025-04-06,REFUND,7.97,INR,1.0,-2463533.36,ElectroWorld,Clothing,Men,UAE,Delhi,TRUE,,2025.0,1514.3,Negative
2025-07-12,DEBIT,9.88,INR,1.0,-278120.32,Walmart,Health,Clinic,India,Chennai,TRUE,MONTHLY SUBSCRIPTION,,1877.2,Negative
2024-02-29,CREDIT,33.37,AED,21.3944,-1641954.78,Reliance,Automotive,Repair,UAE,Gurugram,TRUE,CHARGEBACK REQUESTED,,135646.91431999998,Negative
2023-09-26,DEBIT,77.27,GBP,108.6655,-1809234.66,LocalMart,Utilities,Internet,USA,Delhi,TRUE,PROMO APPLIED,,1595350.80515,Negative
2024-03-23,REFUND,33.37,USD,72.4255,-2582550.9,Flipkart,Travel,Hotel,Canada,Gurugram,TRUE,SUSPECTED FRAUD,2022.0,459199.39764999994,Negative
2025-08-04,CREDIT,15.25,USD,79.9686,-1008882.16,ShopEasy,Dining,FastFood,Australia,Kolkata,TRUE,REPEAT PURCHASE,2017.0,231709.0185,Negative
2024-03-19,CREDIT,8.78,AED,18.6838,-1641380.95,Walmart,Groceries,Supermarket,Canada,Delhi,TRUE,MANUAL ADJUSTMENT,,31168.315160000002,Negative
2025-08-03,DEBIT,90.68,INR,1.0,-1936740.59,LocalMart,Electronics,Accessory,USA,Kolkata,TRUE,REPEAT PURCHASE,,17229.2,Negative
2024-10-02,CREDIT,33.96,USD,82.385,-175447.9,Amazon,Clothing,Women,India,Pune,TRUE,CHARGEBACK REQUESTED,,531580.974,Negative
2025-01-25,CREDIT,49.02,USD,81.2335,-278298.16,AutoZone,Electronics,Laptop,India,Mumbai,TRUE,,,756592.5723000001,Negative
2024-01-11,CREDIT,24.57,INR ,1.0,-1641954.78,Reliance,Entertainment,Movies,UAE,Delhi,TRUE,REPEAT PURCHASE,,4668.3,Negative
2024-06-29,CREDIT,33.37,AED,20.9379,-1284873.71,Walmart,Health,Pharmacy,UK,Jaipur,TRUE,REPEAT PURCHASE,,132752.56736999998,Negative
2025-06-07,DEBIT,74.83,INR,1.0,-1641954.78,Paytm Mall,Education,Books,Australia,Bengaluru,TRUE,SUSPECTED FRAUD,,14217.699999999999,Negative
2025-01-27,DEBIT,33.37,AED,20.7361,-1705957.38,BigBasket,Electronics,Laptop,Australia,Noida,TRUE,"MANUAL ADJUSTMENT -- VERIFY
CONTACT SUPPORT",,131473.09483000002,Negative
2023-11-22,CREDIT,45.26,USD,73.1058,-1288381.34,Amazon,Entertainment,Movies,Australia,Delhi,TRUE,SUSPECTED FRAUD,2019.0,628666.0165200001,Negative
2024-07-26,DEBIT,25.2,AED,20.8373,-2922370.08,Zomato,Groceries,Supermarket,Canada,Delhi,TRUE,REPEAT PURCHASE,,99768.9924,Negative
2025-07-25,CREDIT,48.57,INR,1.0,-1130726.93,ElectroWorld,Travel,Hotel,USA,Chennai,TRUE,PROMO APPLIED,,9228.3,Negative
2024-05-07,DEBIT,0.99,USD,77.7798,-1008437.94,Zomato,Education,Course,UK,Mumbai,TRUE,SUSPECTED FRAUD,,14630.380379999999,Negative
2023-11-29,DEBIT,23.99,AED,18.5359,-1131424.6,Amazon,Electronics,Mobile,UAE,Noida,TRUE,PROMO APPLIED,,84488.48579,Negative
2024-01-09,DEBIT,16.16,GBP,101.1017,-1641954.78,Swiggy,Utilities,Internet,Australia,Pune,TRUE,PROMO APPLIED,,310422.65968,Negative
2024-02-28,CREDIT,172.58,USD,79.8723,-556611.95,Swiggy,Travel,Taxi,Australia,Kolkata,TRUE,SUSPECTED FRAUD,,2619028.69146,Negative
2023-12-08,CREDIT,34.14,GBP,92.4458,-1641954.78,Starbucks,Dining,Restaurant,Australia,Bengaluru,TRUE,CHARGEBACK REQUESTED,2023.0,599658.9262800001,Negative
2023-11-13,DEBIT,33.37,USD,74.2161,-2119087.05,Flipkart,Entertainment,Concert,USA,Chennai,TRUE,PROMO APPLIED,2021.0,470552.3388299999,Negative
2025-08-04,DEBIT,11.33,INR,1.0,-2922735.2,Myntra,Entertainment,Movies,Australia,Hyderabad,TRUE,MONTHLY SUBSCRIPTION,,2152.7,Negative
2023-12-08,DEBIT,22.15,USD,77.1154,-1604794.52,Paytm Mall,Dining,FastFood,UK,Noida,TRUE,MONTHLY SUBSCRIPTION,,324540.16089999996,Negative
2025-08-13,DEBIT,16.8,USD,78.1052,-2467723.5,Swiggy,Entertainment,Movies,India,Pune,TRUE,CASHBACK CREDITED,2018.0,249311.79839999997,Negative
2024-11-02,DEBIT,144.38,GBP,109.0636,-2934013.16,Starbucks,Health,Clinic,Australia,Kolkata,TRUE,MONTHLY SUBSCRIPTION,2022.0,2991854.4879199998,Negative
2025-04-03,DEBIT,7.27,INR,1.0,-2538940.36,ShopEasy,Education,Books,Australia,Kolkata,TRUE,PROMO APPLIED,,1381.3,Negative
2024-09-06,DEBIT,22.16,INR,1.0,-1076151.42,Flipkart,Utilities,Electricity,UK,Kolkata,TRUE,PROMO APPLIED,,4210.4,Negative
2024-02-13,REFUND,30.6,GBP,98.235,-530104.17,ShopEasy,Utilities,Water,USA,Jaipur,TRUE,SUSPECTED FRAUD,,571138.29,Negative
2024-05-30,DEBIT,15.9,GBP,95.6659,-445325.19,Swiggy,Electronics,Accessory,Australia,Delhi,TRUE,CHARGEBACK REQUESTED,,289006.6839,Negative
2023-11-05,CREDIT,59.36,INR,1.0,-2935654.31,Amazon,Automotive,Fuel,USA,Bengaluru,TRUE,MONTHLY SUBSCRIPTION,,11278.4,Negative
